name,version,directory,repository,summary,from package.json,from license,from readme
getpass,0.1.7,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/getpass,https://github.com/arekinath/node-getpass,MIT,MIT,,
glob,7.1.7,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/glob,http://github.com/isaacs/node-glob,ISC,ISC,ISC,
graceful-fs,4.2.6,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/graceful-fs,https://github.com/isaacs/node-graceful-fs,ISC,ISC,ISC,
gray-matter,2.1.1,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/gray-matter,jonschlinkert/gray-matter,MIT,MIT,MIT,
gulp-header,1.8.12,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/gulp-header,http://github.com/tracker1/gulp-header,MIT,MIT,MIT,
har-schema,2.0.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/har-schema,https://github.com/ahmadnassri/har-schema,ISC,ISC,,
har-validator,5.1.5,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/har-validator,https://github.com/ahmadnassri/node-har-validator,MIT,MIT,MIT,
has,1.0.3,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/has,http://github.com/tarruda/has,MIT,MIT,,
has-ansi,2.0.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/has-ansi,sindresorhus/has-ansi,MIT,MIT,MIT,MIT
has-flag,3.0.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/@babel/highlight/node_modules/has-flag,(none),MIT,MIT,MIT,MIT
has-flag,4.0.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/has-flag,sindresorhus/has-flag,MIT,MIT,MIT,MIT
has-symbols,1.0.2,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/has-symbols,http://github.com/inspect-js/has-symbols,MIT,MIT,MIT,
hosted-git-info,2.8.9,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/hosted-git-info,https://github.com/npm/hosted-git-info,ISC,ISC,,
http-signature,1.2.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/http-signature,http://github.com/joyent/node-http-signature,MIT,MIT,,
human-signals,1.1.1,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/human-signals,ehmicky/human-signals,Apache;Apache-2.0,Apache-2.0,Apache,
husky,4.3.8,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/husky,https://github.com/typicode/husky,MIT,MIT,MIT,MIT
import-fresh,3.3.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/import-fresh,sindresorhus/import-fresh,MIT,MIT,MIT,
indent-string,4.0.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/indent-string,sindresorhus/indent-string,MIT,MIT,MIT,MIT
inflight,1.0.6,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/inflight,https://github.com/npm/inflight,ISC,ISC,ISC,
inherits,2.0.4,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/inherits,http://github.com/isaacs/inherits,ISC,ISC,ISC,
is-absolute-url,3.0.3,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/is-absolute-url,sindresorhus/is-absolute-url,MIT,MIT,MIT,
is-alphabetical,1.0.4,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/is-alphabetical,wooorm/is-alphabetical,MIT,MIT,MIT,
is-alphanumerical,1.0.4,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/is-alphanumerical,wooorm/is-alphanumerical,MIT,MIT,MIT,
is-arguments,1.1.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/is-arguments,http://github.com/inspect-js/is-arguments,MIT,MIT,MIT,
is-arrayish,0.2.1,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/is-arrayish,https://github.com/qix-/node-is-arrayish,MIT,MIT,MIT,
is-buffer,1.1.6,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/is-buffer,http://github.com/feross/is-buffer,MIT,MIT,MIT,
is-core-module,2.5.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/is-core-module,https://github.com/inspect-js/is-core-module,MIT,MIT,MIT,
is-date-object,1.0.4,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/is-date-object,http://github.com/inspect-js/is-date-object,MIT,MIT,MIT,
is-decimal,1.0.4,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/is-decimal,wooorm/is-decimal,MIT,MIT,MIT,
is-extendable,0.1.1,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/is-extendable,jonschlinkert/is-extendable,MIT,MIT,MIT,MIT
is-extendable,1.0.1,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/mixin-deep/node_modules/is-extendable,(none),MIT,MIT,MIT,
is-file,1.0.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/is-file,https://github.com/jsdevel/node-is-file,MIT,MIT,MIT,MIT
is-fullwidth-code-point,1.0.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/@textlint/fixer-formatter/node_modules/is-fullwidth-code-point,(none),MIT,MIT,MIT,MIT
is-fullwidth-code-point,2.0.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/table/node_modules/is-fullwidth-code-point,(none),MIT,MIT,MIT,MIT
is-fullwidth-code-point,3.0.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/is-fullwidth-code-point,sindresorhus/is-fullwidth-code-point,MIT,MIT,MIT,MIT
is-hexadecimal,1.0.4,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/is-hexadecimal,wooorm/is-hexadecimal,MIT,MIT,MIT,
is-number,2.1.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/is-number,jonschlinkert/is-number,MIT,MIT,MIT,MIT
is-number,4.0.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/randomatic/node_modules/is-number,(none),MIT,MIT,MIT,
is-number,7.0.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/to-regex-range/node_modules/is-number,(none),MIT,MIT,MIT,
is-obj,1.0.1,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/is-obj,sindresorhus/is-obj,MIT,MIT,MIT,MIT
is-plain-obj,1.1.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/is-plain-obj,sindresorhus/is-plain-obj,MIT,MIT,MIT,MIT
is-plain-object,2.0.4,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/is-plain-object,jonschlinkert/is-plain-object,MIT,MIT,MIT,
is-regex,1.1.3,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/is-regex,http://github.com/inspect-js/is-regex,MIT,MIT,MIT,
is-regexp,1.0.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/is-regexp,sindresorhus/is-regexp,MIT,MIT,,MIT
is-relative-url,3.0.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/is-relative-url,sindresorhus/is-relative-url,MIT,MIT,MIT,MIT
is-stream,2.0.1,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/is-stream,sindresorhus/is-stream,MIT,MIT,MIT,
is-typedarray,1.0.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/is-typedarray,http://github.com/hughsk/is-typedarray,MIT,MIT,MIT,
is-unicode-supported,0.1.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/is-unicode-supported,sindresorhus/is-unicode-supported,MIT,MIT,MIT,
is-utf8,0.2.1,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/is-utf8,https://github.com/wayfind/is-utf8,MIT,MIT,MIT,
is-whitespace-character,1.0.4,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/is-whitespace-character,wooorm/is-whitespace-character,MIT,MIT,MIT,
is-word-character,1.0.4,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/is-word-character,wooorm/is-word-character,MIT,MIT,MIT,
isarray,1.0.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/isarray,http://github.com/juliangruber/isarray,MIT,MIT,,MIT
isemail,3.2.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/isemail,http://github.com/hapijs/isemail,BSD-3-Clause,BSD-3-Clause,,
isexe,2.0.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/isexe,https://github.com/isaacs/isexe,ISC,ISC,ISC,
isobject,2.1.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/isobject,jonschlinkert/isobject,MIT,MIT,MIT,
isobject,3.0.1,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/object.pick/node_modules/isobject,(none),MIT,MIT,MIT,
isstream,0.1.2,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/isstream,https://github.com/rvagg/isstream,MIT,MIT,MIT,MIT
js-tokens,4.0.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/js-tokens,lydell/js-tokens,MIT,MIT,MIT,
js-yaml,3.14.1,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/js-yaml,nodeca/js-yaml,MIT,MIT,MIT,
jsbn,0.1.1,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/jsbn,https://github.com/andyperlitch/jsbn,MIT,MIT,,
json-parse-better-errors,1.0.2,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/json-parse-better-errors,https://github.com/zkat/json-parse-better-errors,MIT,MIT,,
json-parse-even-better-errors,2.3.1,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/json-parse-even-better-errors,https://github.com/npm/json-parse-even-better-errors,MIT,MIT,MIT,
json-schema,0.2.3,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/json-schema,http://github.com/kriszyp/json-schema,AFLv2.1;AFLv2.1/BSD;BSD,AFLv2.1;AFLv2.1/BSD;BSD,,BSD
json-schema-traverse,0.4.1,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/json-schema-traverse,https://github.com/epoberezkin/json-schema-traverse,MIT,MIT,MIT,
json-stable-stringify,1.0.1,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/json-stable-stringify,http://github.com/substack/json-stable-stringify,MIT,MIT,MIT,MIT
json-stringify-safe,5.0.1,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/json-stringify-safe,http://github.com/isaacs/json-stringify-safe,ISC,ISC,ISC,
json5,2.2.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/json5,https://github.com/json5/json5,MIT,MIT,MIT,
jsonify,0.0.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/jsonify,http://github.com/substack/jsonify,Public Domain,Public Domain,,
jsprim,1.4.1,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/jsprim,http://github.com/joyent/node-jsprim,MIT,MIT,,
kind-of,3.2.2,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/kind-of,jonschlinkert/kind-of,MIT,MIT,MIT,
kind-of,6.0.3,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/randomatic/node_modules/kind-of,(none),MIT,MIT,MIT,
lazy-cache,2.0.2,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/lazy-cache,jonschlinkert/lazy-cache,MIT,MIT,MIT,
levn,0.4.1,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/levn,http://github.com/gkz/levn,MIT,MIT,,MIT
lines-and-columns,1.1.6,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/lines-and-columns,https://github.com/eventualbuddha/lines-and-columns,MIT,MIT,MIT,MIT
link-check,4.5.4,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/link-check,http://github.com/tcort/link-check,ISC,ISC,,
lint-staged,10.5.4,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/lint-staged,https://github.com/okonet/lint-staged,MIT,MIT,MIT,
list-item,1.1.1,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/list-item,jonschlinkert/list-item,MIT,MIT,MIT,MIT
listr2,3.11.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/listr2,https://github.com/cenk1cenk2/listr2,MIT,MIT,MIT,
load-json-file,1.1.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/load-json-file,sindresorhus/load-json-file,MIT,MIT,MIT,MIT
load-json-file,4.0.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/read-pkg-up/node_modules/load-json-file,(none),MIT,MIT,MIT,MIT
locate-path,2.0.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/read-pkg-up/node_modules/locate-path,(none),MIT,MIT,MIT,MIT
locate-path,6.0.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/locate-path,sindresorhus/locate-path,MIT,MIT,MIT,
lodash,4.17.21,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/lodash,lodash/lodash,MIT,MIT,,
lodash._reinterpolate,3.0.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/lodash._reinterpolate,lodash/lodash,MIT,MIT,,
lodash.template,4.5.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/lodash.template,lodash/lodash,MIT,MIT,,
lodash.templatesettings,4.2.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/lodash.templatesettings,lodash/lodash,MIT,MIT,,
log-symbols,1.0.2,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/textlint/node_modules/log-symbols,(none),MIT,MIT,MIT,MIT
log-symbols,4.1.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/log-symbols,sindresorhus/log-symbols,MIT,MIT,MIT,
log-update,4.0.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/log-update,sindresorhus/log-update,MIT,MIT,MIT,
map-like,2.0.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/map-like,https://github.com/azu/map-like,MIT,MIT,,MIT
markdown-escapes,1.0.4,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/markdown-escapes,wooorm/markdown-escapes,MIT,MIT,MIT,
markdown-link,0.1.1,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/markdown-link,http://github.com/jonschlinkert/markdown-link,MIT,MIT,MIT,MIT
markdown-link-check,3.8.7,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/markdown-link-check,http://github.com/tcort/markdown-link-check,ISC,ISC,,
markdown-link-extractor,1.3.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/markdown-link-extractor,http://github.com/tcort/markdown-link-extractor,ISC,ISC,,
markdown-toc,1.2.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/markdown-toc,jonschlinkert/markdown-toc,MIT,MIT,MIT,
marked,2.1.3,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/marked,http://github.com/markedjs/marked,MIT,MIT,MIT,
math-random,1.0.4,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/math-random,github:michaelrhodes/math-random,MIT,MIT,,
md5,2.3.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/md5,http://github.com/pvorb/node-md5,BSD-3-Clause,BSD-3-Clause,,
merge-stream,2.0.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/merge-stream,grncdr/merge-stream,MIT,MIT,MIT,MIT
micromatch,4.0.4,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/micromatch,micromatch/micromatch,MIT,MIT,MIT,
mime-db,1.49.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/mime-db,jshttp/mime-db,MIT,MIT,MIT,
mime-types,2.1.32,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/mime-types,jshttp/mime-types,MIT,MIT,MIT,
mimic-fn,2.1.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/mimic-fn,sindresorhus/mimic-fn,MIT,MIT,MIT,MIT
minimatch,3.0.4,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/minimatch,http://github.com/isaacs/minimatch,ISC,ISC,ISC,
minimist,1.2.5,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/minimist,http://github.com/substack/minimist,MIT,MIT,MIT,MIT
mixin-deep,1.3.2,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/mixin-deep,jonschlinkert/mixin-deep,MIT,MIT,MIT,
mkdirp,0.5.5,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/mkdirp,https://github.com/substack/node-mkdirp,MIT,MIT,,MIT
ms,2.1.2,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/ms,zeit/ms,MIT,MIT,MIT,
normalize-package-data,2.5.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/normalize-package-data,http://github.com/npm/normalize-package-data,BSD;BSD-2-Clause,BSD-2-Clause,BSD,
normalize-path,3.0.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/normalize-path,jonschlinkert/normalize-path,MIT,MIT,MIT,
npm-run-path,4.0.1,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/npm-run-path,sindresorhus/npm-run-path,MIT,MIT,MIT,
number-is-nan,1.0.1,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/number-is-nan,sindresorhus/number-is-nan,MIT,MIT,MIT,MIT
oauth-sign,0.9.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/oauth-sign,https://github.com/mikeal/oauth-sign,Apache;Apache-2.0,Apache-2.0,Apache,
object-is,1.1.5,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/object-is,http://github.com/es-shims/object-is,MIT,MIT,MIT,
object-keys,1.1.1,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/object-keys,http://github.com/ljharb/object-keys,MIT,MIT,MIT,
object.pick,1.3.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/object.pick,jonschlinkert/object.pick,MIT,MIT,MIT,
once,1.4.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/once,http://github.com/isaacs/once,ISC,ISC,ISC,
onetime,5.1.2,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/onetime,sindresorhus/onetime,MIT,MIT,MIT,
opencollective-postinstall,2.0.3,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/opencollective-postinstall,https://github.com/opencollective/opencollective-postinstall,MIT,MIT,MIT,
optionator,0.9.1,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/optionator,http://github.com/gkz/optionator,MIT,MIT,,MIT
p-limit,1.3.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/read-pkg-up/node_modules/p-limit,(none),MIT,MIT,MIT,MIT
p-limit,3.1.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/p-limit,sindresorhus/p-limit,MIT,MIT,MIT,
p-locate,2.0.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/read-pkg-up/node_modules/p-locate,(none),MIT,MIT,MIT,MIT
p-locate,5.0.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/p-locate,sindresorhus/p-locate,MIT,MIT,MIT,
p-map,4.0.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/p-map,sindresorhus/p-map,MIT,MIT,MIT,
p-try,1.0.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/p-try,sindresorhus/p-try,MIT,MIT,MIT,MIT
parent-module,1.0.1,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/parent-module,sindresorhus/parent-module,MIT,MIT,MIT,MIT
parse-entities,1.2.2,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/parse-entities,wooorm/parse-entities,MIT,MIT,MIT,
parse-json,2.2.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/load-json-file/node_modules/parse-json,(none),MIT,MIT,MIT,MIT
parse-json,4.0.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/read-pkg-up/node_modules/parse-json,(none),MIT,MIT,MIT,MIT
parse-json,5.2.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/parse-json,sindresorhus/parse-json,MIT,MIT,MIT,
path-exists,3.0.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/read-pkg-up/node_modules/path-exists,(none),MIT,MIT,MIT,MIT
path-exists,4.0.0,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/path-exists,sindresorhus/path-exists,MIT,MIT,MIT,MIT
path-is-absolute,1.0.1,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/path-is-absolute,sindresorhus/path-is-absolute,MIT,MIT,MIT,MIT
path-key,3.1.1,/Users/luisherranz/Code/frontity-licenses/frontity-docs/node_modules/path-key,sindresorhus/path-key,MIT,MIT,MIT,
